Designator,Mid X,Mid Y,Rotation,Layer
C1,159.4,-44.6,270.0,top
C10,159.849318,-50.2725,0.0,top
C11,157.249318,-46.7725,90.0,top
C12,150.849318,-46.7725,90.0,top
C14,148.149318,-42.4275,0.0,top
C15,153.284318,-67.9225,0.0,top
C16,150.034318,-63.76,90.0,top
C17,163.899318,-71.46,0.0,top
C18,160.649318,-63.76,270.0,top
C19,186.149318,-51.1475,270.0,top
C2,163.524318,-37.955,180.0,top
C20,192.899318,-51.1475,270.0,top
C21,183.106818,-83.15625,270.0,top
C22,184.106818,-66.81875,90.0,top
C23,182.106818,-66.81875,90.0,top
C24,170.011818,-65.26,180.0,top
C25,170.011818,-62.76,180.0,top
C3,152.449318,-46.7725,90.0,top
C4,159.849318,-48.6725,0.0,top
C5,144.261818,-56.86,180.0,top
C6,143.699318,-51.76,180.0,top
C7,162.499318,-55.36,0.0,top
D1,164.649318,-68.26,180.0,top
D2,192.899318,-46.06,90.0,top
D3,193.899318,-54.8975,0.0,top
D4,159.4,-40.6,90.0,top
D5,170.0,-33.2,0.0,top
J1,154.999318,-33.67,180.0,top
J10,187.109318,-41.21,270.0,top
J11,129.099318,-59.88,0.0,top
J12,175.57,-33.2,90.0,top
J2,135.099318,-48.555,0.0,top
J5,160.149318,-77.8725,270.0,top
J6,183.086818,-87.56875,90.0,top
J8,137.879318,-69.71,0.0,top
J9,144.439318,-77.8725,90.0,top
R1,143.899318,-42.4275,180.0,top
R10,187.356818,-74.65625,90.0,top
R11,184.106818,-79.40625,270.0,top
R12,182.106818,-79.40625,90.0,top
R13,194.899318,-46.06,270.0,top
R14,193.899318,-57.1475,0.0,top
R15,152.899318,-41.96,270.0,top
R16,157.149318,-41.96,270.0,top
R17,162.699318,-87.9,270.0,top
R18,139.649318,-37.86,0.0,top
R19,145.149318,-69.71,270.0,top
R2,139.649318,-42.4275,0.0,top
R20,147.649318,-69.71,270.0,top
R3,156.534318,-63.76,270.0,top
R4,154.049318,-46.7725,270.0,top
R5,155.649318,-46.7725,90.0,top
R6,163.899318,-74.21,180.0,top
R7,163.899318,-62.76,0.0,top
R8,163.899318,-65.26,180.0,top
R9,189.649318,-54.8975,180.0,top
SW1,169.399318,-85.96,180.0,top
SW2,132.099318,-40.66,180.0,top
U1,153.649318,-55.0725,90.0,top
U2,167.314318,-42.985,0.0,top
U3,143.899318,-46.7725,270.0,top
U4,183.134318,-73.18125,270.0,top
U5,178.399318,-57.51,90.0,top
Y1,153.284318,-64.1725,0.0,top
Y2,189.649318,-50.8975,0.0,top
