item                                                    , qnt      , cost     , bulk cost  , bulk value       , link                                                  ,
Capacitor Set                                           , 1        ,          , 10.00      , 50 of each value , https://www.aliexpress.com/item/1005002782324319.html ,
>>> Capacitor 0603 (10u)                                , 2        , 0.008    ,            ,                  ,                                                       ,
>>> Capacitor 0603 (1u)                                 , 4        , 0.016    ,            ,                  ,                                                       ,
>>> Capacitor 0603 (100n)                               , 11       , 0.044    ,            ,                  ,                                                       ,
>>> Capacitor 0603 (15p)                                , 2        , 0.008    ,            ,                  ,                                                       ,
>>> Capacitor 0603 (30p)                                , 2        , 0.008    ,            ,                  ,                                                       ,
>>> Capacitor 0603 (4.7n)                               , 1        , 0.004    ,            ,                  ,                                                       ,
Diode D_SOD-123 (1N4148W)                               , 7        , 0.21     , 3.00       , 100              , https://www.aliexpress.com/item/4000685043735.html    ,
Shottsky diode D_SOD-323 (1N5819WS)                     , 2        , 0.08     , 4.00       , 100              , https://www.aliexpress.com/item/1005006207828437.html ,
LED 0603                                                , 2        , 0.07     , 3.50       , 100              , https://www.aliexpress.com/item/1005008127880619.html ,
USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal , 1        , 0.30     , 3.00       , 10               , https://www.aliexpress.com/item/1005008515699009.html ,
Male Pins 2.54mm                                        , 50       , 0.50     , 4.00       , 400              , https://www.aliexpress.com/item/4001198421663.html    ,
Resistor Set Low Values                                 , 2        ,          , 5.00       , 20 per value     , https://www.aliexpress.com/item/1005007902452631.html ,
>>> Resistor 0603 (27R)                                 , 2        , 0.005    ,            ,                  ,                                                       ,
>>> Resistor 0603 (60R)                                 , 2        , 0.005    ,            ,                  ,                                                       ,
>>> Resistor 0603 (220R)                                , 2        , 0.005    ,            ,                  ,                                                       ,
>>> Resistor 0603 (1k)                                  , 6        , 0.015    ,            ,                  ,                                                       ,
>>> Resistor 0603 (4.7K)                                , 2        , 0.005    ,            ,                  ,                                                       ,
>>> Resistor 0603 (5.1K)                                , 2        , 0.005    ,            ,                  ,                                                       ,
>>> Resistor 0603 (10k)                                 , 4        , 0.01     ,            ,                  ,                                                       ,
Push button 6mm x 6mm                                   , 2        , 0.10     , 2.50       , 50               , https://www.aliexpress.com/item/32815969627.html      ,
RP2040 --- QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm          , 1        , 1.50     ,            ,                  , JLCPCB Assembly                                       ,
W25Q128JVS --- SOIC-8_5.3x5.3mm_P1.27mm                 , 1        , 0.82     ,            ,                  , JLCPCB Assembly                                       ,
NCP1117-3.3_TO252 --- TO-252-2                          , 1        , 0.744    ,            ,                  , JLCPCB Assembly                                       ,
SN65HVD230DR --- SOIC127P599X175-8N                     , 1        , 0.516    ,            ,                  , JLCPCB Assembly                                       ,
MCP2515-xSO --- SOIC-18W_7.5x11.6mm_P1.27mm             , 1        , 1.59     ,            ,                  , JLCPCB Assembly                                       ,
ABM8-272-T3 --- XTAL_ABM8-272-T3                        , 1        , 0.30     ,            ,                  , JLCPCB Assembly                                       ,
ABM8-16.000MHZ-B2-T --- XTAL_ABM8-16.000MHZ-B2-T        , 1        , 0.50     ,            ,                  , JLCPCB Assembly                                       ,
JLCPCB Assembled PCB                                    , 1        ,          , 58         ,                  , JLCPCB Assembly                                       ,
total                                                   ,          , 65.58    , 100        ,                  ,                                                       ,          
